size(sqft),bedrooms,floors,age,price
952,2,1,65,271.5
1244,3,1,64,300
1947,3,2,17,509.8
1725,3,2,42,394
1959,3,2,15,540
1314,2,1,14,415
864,2,1,66,230
1836,3,1,17,560
1026,3,1,43,294
3194,4,2,87,718.2
788,2,1,80,200
1200,2,2,17,302
1557,2,1,18,468
1430,3,1,20,374.2
1220,2,1,15,388
1092,2,1,64,282
848,1,1,17,311.8
1682,3,2,23,401
1768,3,2,18,449.8
1040,3,1,44,301
1652,2,1,21,502
1088,2,1,35,340
1316,3,1,14,400.282
1593,0,1,20,572
972,2,1,73,264
1097,3,1,37,304
1004,2,1,51,298
904,3,1,55,219.8
1694,3,1,13,490.7
1073,2,1,100,216.96
1419,3,2,19,368.2
1164,3,1,52,280
1935,3,2,12,526.87
1216,2,2,74,237
2482,4,2,16,562.426
1200,2,1,18,369.8
1840,3,2,20,460
1851,3,2,57,374
1660,3,2,19,390
1096,2,2,97,158
1775,3,2,28,426
2030,4,2,45,390
1784,4,2,107,277.774
1073,2,1,100,216.96
1552,3,1,16,425.8
1953,3,2,16,504
1224,2,2,12,329
1616,3,1,16,464
816,2,1,58,220
1349,3,1,21,358
1571,3,1,14,478
1486,3,1,57,334
1506,2,1,16,426.98
1097,3,1,27,290
1764,3,2,24,463
1208,2,1,14,390.8
1470,3,2,24,354
1768,3,2,84,350
1654,3,1,19,460
1029,3,1,60,237
1120,2,2,16,288.304
1150,3,1,62,282
816,2,1,39,249
1040,3,1,25,304
1392,3,1,64,332
1603,3,2,29,351.8
1215,3,1,63,310
1073,2,1,100,216.96
2599,4,2,22,666.336
1431,3,1,59,330
2090,3,2,26,480
1790,4,2,49,330.3
1484,3,2,16,348
1040,3,1,25,304
1431,3,1,22,384
1159,3,1,53,316
1547,3,2,12,430.4
1983,3,2,22,450
1056,3,1,53,284
1180,2,1,99,275
1358,2,1,17,414
960,3,1,51,258
1456,3,2,16,378
1446,3,2,25,350
1208,2,1,15,412
1553,3,2,16,373
882,3,1,49,225
2030,4,2,45,390
1040,3,1,62,267.4
1616,3,1,16,464
803,2,1,80,174
1430,3,2,21,340
1656,3,1,61,430
1541,3,1,16,440
948,3,1,53,216
1224,2,2,12,329
1432,2,1,43,388
1660,3,2,19,390
1212,3,1,20,356
1050,2,1,65,257.8
